"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name"
padt_adv_c,pain_assessment_and_documentation_tool_padt,,radio,"c. Constipation","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_d,pain_assessment_and_documentation_tool_padt,,radio,"d. Itching","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_e,pain_assessment_and_documentation_tool_padt,,radio,"e. Mental cloudiness","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_f,pain_assessment_and_documentation_tool_padt,,radio,"f. Sweating","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_g,pain_assessment_and_documentation_tool_padt,,radio,"g. Fatigue","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_h,pain_assessment_and_documentation_tool_padt,,radio,"h. Drowsiness","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_i,pain_assessment_and_documentation_tool_padt,,radio,"i. Other___________________","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_j,pain_assessment_and_documentation_tool_padt,,radio,"j. Other___________________","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,,,padt_adv_mat
padt_adv_poten,pain_assessment_and_documentation_tool_padt,,descriptive,"Potential Aberrant Drug‐Related Behavior
This section must be completed by the physician",,,,,,,,,,,
padt_adv_potenchoice,pain_assessment_and_documentation_tool_padt,,checkbox,"Please check any of the following items that you discovered during your interactions with the patient.
Please note that some of these are directly observable (eg, appears intoxicated), while others may require more active listening and/or probing. Use the ""Assessment"" section below to note additional details.","1, Purposeful over‐sedation | 2, Negative mood change | 3, Appears intoxicated | 4, Increasingly unkempt or impaired | 5, Involvement in car or other accident | 6, Requests frequent early renewals | 7, Increased dose without authorization | 8, Reports lost or stolen prescriptions | 9, Attempts to obtain prescriptions from other doctors | 10, Changes route of administration | 11, Uses pain medication in response to situational stressor | 12, Insists on certain medications by name | 13, Contact with street drug culture | 14, Abusing alcohol or illicit drugs | 15, Hoarding (ie, stockpiling) of medication | 16, Arrested by police | 17, Victim of abuse | 18, Other: ___________________________",,,,,,,,,,
padt_adv_2,pain_assessment_and_documentation_tool_padt,,radio,"2. Patients overall severity of side effects?","1, None | 2, Mild | 3, Moderate | 4, Severe",,,,,,,,LH,,
padt_adv_2_1,pain_assessment_and_documentation_tool_padt,,yesno,"Assessment: (This section must be completed by the physician.)
Is your overall impression that this patient is benefiting (eg, benefits, such as pain relief, outweigh side effects) from opioid therapy?",,,,,,,,,RH,,
padt_adv_2_2,pain_assessment_and_documentation_tool_padt,,notes,Comments:,,,,,,,,,RH,,
padt_adv_plan,pain_assessment_and_documentation_tool_padt,,checkbox,"Specific Analgesic Plan:","1, Continue present regimen | 2, Adjust dose of present analgesic | 3, Switch analgesics | 4, Add/Adjust concomitant therapy | 5, Discontinue/taper off opioid therapy",,,,,,,,,,
padt_adv_plancomm,pain_assessment_and_documentation_tool_padt,,notes,Comments:,,,,,,,,,RH,,
padt_date,pain_assessment_and_documentation_tool_padt,,text,Date:,,,date_mdy,,,,,y,,,
padt_physig,pain_assessment_and_documentation_tool_padt,,text,"Physicians Signature:",,,,,,y,,y,,,
